"","Date","Region","Store","Units.Sold","Average.Retail.Price","Sales.Rep","Endcap","Demo","Demo1.3","Demo4.5","Natural","Fitness"
"124","5/18/2010","MA","Columbus",209.2989875,3.618571429,0,0,0,0,0,0,4
"125","5/25/2010","MA","Columbus",158.7019897,3.75625,0,0,0,0,0,0,4
"126","6/1/2010","MA","Columbus",203.4832256,3.7775,0,0,0,0,0,0,4
"127","6/8/2010","MA","Columbus",183.0966617,3.634444444,0,0,0,0,0,0,4
"128","6/15/2010","MA","Columbus",162.3953116,3.7525,0,0,0,0,0,0,4
"129","6/22/2010","MA","Columbus",372.1667482,3.735454545,0,0,1,0,0,0,4
"130","6/29/2010","MA","Columbus",389.7593543,3.735454545,0,0,0,1,0,0,4
"131","7/6/2010","MA","Columbus",302.6825591,3.495,0,0,0,1,0,0,4
"132","7/13/2010","MA","Columbus",301.8969483,3.495,0,0,0,1,0,0,4
"133","5/4/2010","MA","Fair Lakes",137.1207784,3.904285714,0,0,0,0,0,3,1
"134","5/11/2010","MA","Fair Lakes",184.9234012,3.54,0,0,0,0,0,3,1
"135","5/18/2010","MA","Fair Lakes",169.8355735,3.34,0,0,0,0,0,3,1
"136","5/25/2010","MA","Fair Lakes",219.3519107,3.34,0,0,0,0,0,3,1
"137","6/1/2010","MA","Fair Lakes",148.6403703,3.34,0,0,0,0,0,3,1
"138","6/8/2010","MA","Fair Lakes",292.9061943,3.54,0,0,0,0,0,3,1
"139","6/15/2010","MA","Fair Lakes",222.2763072,3.54,0,0,0,0,0,3,1
"140","6/22/2010","MA","Fair Lakes",148.1474343,3.634444444,0,0,0,0,0,3,1
"141","6/29/2010","MA","Fair Lakes",270.1418703,3.7525,0,0,0,0,0,3,1
"142","7/6/2010","MA","Fair Lakes",194.1791234,3.251111111,0,0,0,0,0,3,1
"143","7/13/2010","MA","Fair Lakes",170.5376793,3.126,0,0,0,0,0,3,1
"144","5/4/2010","MA","Georgetown",171.5658657,3.618571429,0,0,0,0,0,2,0
"145","5/11/2010","MA","Georgetown",227.6560624,3.618571429,0,0,0,0,0,2,0
"146","5/18/2010","MA","Georgetown",186.2484725,3.34,0,0,0,0,0,2,0
"147","5/25/2010","MA","Georgetown",235.9499676,3.356666667,0,0,0,0,0,2,0
"148","6/1/2010","MA","Georgetown",193.8960576,3.34,0,0,0,0,0,2,0
"149","6/8/2010","MA","Georgetown",293.9821208,3.54,0,0,1,0,0,2,0
"150","6/15/2010","MA","Georgetown",288.0968741,3.54,0,0,0,1,0,2,0
"151","6/22/2010","MA","Georgetown",220.3452306,3.523333333,0,0,0,1,0,2,0
"152","6/29/2010","MA","Georgetown",309.7761047,3.634444444,0,0,0,1,0,2,0
"153","7/6/2010","MA","Georgetown",252.8236582,3.126,0,0,0,0,1,2,0
"154","7/13/2010","MA","Georgetown",274.3320821,3.19625,0,0,0,0,1,2,0
"155","5/4/2010","MA","Jenkintown",221.1793091,3.904285714,0,0,0,0,0,1,4
"156","5/11/2010","MA","Jenkintown",213.0256413,3.904285714,0,0,0,0,0,1,4
"157","5/18/2010","MA","Jenkintown",239.8165698,3.618571429,0,0,0,0,0,1,4
"158","5/25/2010","MA","Jenkintown",230.5775988,3.618571429,0,0,0,0,0,1,4
"159","6/1/2010","MA","Jenkintown",192.0788618,3.618571429,0,0,0,0,0,1,4
"160","6/8/2010","MA","Jenkintown",241.4148546,3.904285714,0,0,0,0,0,1,4
"161","6/15/2010","MA","Jenkintown",129.923895,3.904285714,0,0,0,0,0,1,4
"162","6/22/2010","MA","Jenkintown",186.5729841,3.54,0,0,0,0,0,1,4
"163","6/29/2010","MA","Jenkintown",349.8180217,3.54,0,0,1,0,0,1,4
"164","7/6/2010","MA","Jenkintown",285.2934539,3.126,0,0,0,1,0,1,4
"165","7/13/2010","MA","Jenkintown",272.7344725,3.251111111,0,0,0,1,0,1,4
"166","5/4/2010","MA","Kentlands",133.1673841,3.904285714,0,0,0,0,0,3,0
"167","5/11/2010","MA","Kentlands",228.0906109,3.54,0,0,0,0,0,3,0
"168","5/18/2010","MA","Kentlands",169.6714098,3.34,0,0,0,0,0,3,0
"169","5/25/2010","MA","Kentlands",182.0003362,3.5025,0,0,0,0,0,3,0
"170","6/1/2010","MA","Kentlands",249.755524,3.34,0,0,0,0,0,3,0
"171","6/8/2010","MA","Kentlands",200.2779942,3.54,0,0,0,0,0,3,0
"172","6/15/2010","MA","Kentlands",203.4750372,3.54,0,0,1,0,0,3,0
"173","6/22/2010","MA","Kentlands",344.8022983,3.54,0,0,0,1,0,3,0
"174","6/29/2010","MA","Kentlands",266.0185337,3.634444444,0,0,0,1,0,3,0
"175","7/6/2010","MA","Kentlands",299.9055058,3.126,0,0,0,1,0,3,0
"176","7/13/2010","MA","Kentlands",332.742984,3.063333333,0,0,0,0,1,3,0
"177","5/4/2010","MA","Louisville",245.7950387,3.967777778,0,0,0,0,0,4,2
"178","5/11/2010","MA","Louisville",215.6461187,4.056666667,0,0,0,0,0,4,2
"179","5/18/2010","MA","Louisville",138.306791,3.598333333,0,0,0,0,0,4,2
"180","5/25/2010","MA","Louisville",201.374155,3.598333333,0,0,0,0,0,4,2
"181","6/1/2010","MA","Louisville",256.9859114,3.598333333,0,0,0,0,0,4,2
"182","6/8/2010","MA","Louisville",188.1043739,4.056666667,0,0,0,0,0,4,2
"183","6/15/2010","MA","Louisville",124.3898508,4.056666667,0,0,0,0,0,4,2
"184","6/22/2010","MA","Louisville",156.1740682,3.735454545,0,0,0,0,0,4,2
"185","6/29/2010","MA","Louisville",288.232609,4.056666667,0,0,0,0,0,4,2
"186","7/6/2010","MA","Louisville",148.2659997,3.711666667,0,0,0,0,0,4,2
"187","7/13/2010","MA","Louisville",142.4574951,3.711666667,0,0,0,0,0,4,2
"188","5/4/2010","MA","Marlton",257.2802893,3.761428571,0,0,0,0,0,3,0
"189","5/11/2010","MA","Marlton",164.2759468,3.523333333,0,0,0,0,0,3,0
"190","5/18/2010","MA","Marlton",80.52511823,3.356666667,0,0,0,0,0,3,0
"191","5/25/2010","MA","Marlton",271.6577576,3.34,0,0,0,0,0,3,0
"192","6/1/2010","MA","Marlton",208.2902564,3.44,0,0,0,0,0,3,0
"193","6/8/2010","MA","Marlton",332.2814549,3.511111111,0,0,1,0,0,3,0
"194","6/15/2010","MA","Marlton",314.4378887,3.523333333,0,0,0,1,0,3,0
"195","6/22/2010","MA","Marlton",305.0942383,3.523333333,0,0,0,1,0,3,0
"196","6/29/2010","MA","Marlton",224.2860161,3.523333333,0,0,0,1,0,3,0
"197","7/6/2010","MA","Marlton",215.4760785,3.063333333,0,0,0,0,1,3,0
"198","7/13/2010","MA","Marlton",322.6974828,3.063333333,0,0,0,0,1,3,0
"199","5/4/2010","MA","Mount Washington",237.7160629,3.904285714,0,0,0,0,0,0,0
"200","5/11/2010","MA","Mount Washington",149.3169476,3.904285714,0,0,0,0,0,0,0
"201","5/18/2010","MA","Mount Washington",103.8960768,3.618571429,0,0,0,0,0,0,0
"202","5/25/2010","MA","Mount Washington",141.2090064,3.618571429,0,0,0,0,0,0,0
"203","6/1/2010","MA","Mount Washington",216.5325626,3.618571429,0,0,0,0,0,0,0
"204","6/8/2010","MA","Mount Washington",352.4302634,3.904285714,0,0,1,0,0,0,0
"205","6/15/2010","MA","Mount Washington",186.6678083,3.904285714,0,0,0,1,0,0,0
"206","6/22/2010","MA","Mount Washington",290.7796031,3.904285714,0,0,0,1,0,0,0
"207","6/29/2010","MA","Mount Washington",273.3437135,3.904285714,0,0,0,1,0,0,0
